html_url_repository,path,date
https://github.com/AJueling/CESM,src/notebooks/2_SSH_std.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/2_bias_maps.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/2_forcings.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/2_gridspacing.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/2_seaice.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/2_simulations.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/6.1_indicators.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/6.2_ECS.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/6.3_OHC.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/6.3_SAT.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/6.4_radiation.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/6.5_seaice.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/AHC.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/BSF.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/CICE.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/CURRENTS.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/EN4.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/ENSO.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/FLUX_OHC_SALT.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/FORCING.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/FW_budget.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/FW_fluxes.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/FW_fluxes_BS_Med.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/GMST.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/GMST_obs_ensembles.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/HEAT.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/HIATUS.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/MOC.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/MXL.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC-ctrl_vs_lpd.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC-detrending.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC-lowres.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC-observations.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC-phasing.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC-videos.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OHC.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/OSNAP.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/Poster.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/REGR.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SFWF.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SHF.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SPECTRA.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_AMO.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_ENSO.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_GMST_regression.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_GMST_spectra.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_PDO.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_SOM.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_TPI.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_detrending.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_indices.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_obs.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_regression.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/SST_regression_maps.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/TOA.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/WIND.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/Woosok.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/data_overview.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/filters.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/geometry.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/paper.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/paper3.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/paper_EPJ.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/presentation_BBOS19.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/regrid.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/regrid_0.1_to_0.4.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/regrid_tutorial.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/testing_MSSA.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/testing_SSA.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/testing_linear_regression.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/testing_significance.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/notebooks/timeseries.ipynb,2021-12-04
https://github.com/AJueling/CESM,src/run/run_scripts.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Advection.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Bedmachine.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Calc_layer_isomip.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Calc_layer_realistic.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Geometry.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Geometry_idealized.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Geometry_realistic.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/PICO.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/PICOP.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plot_ISOMIP.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plot_observations.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plot_shoaling.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plot_validation.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plot_validation_standardized.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plot_warming.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plots_amundsen_avg_sens.ipynb,2021-12-04
https://github.com/AJueling/melt,src/notebooks/Plots_validation_PIG_CD.ipynb,2021-12-04
